Bin:all	home_number:4532064	home_cali:0.42193578908	home_model:0.420020000453	away_number:4532064	away_cali:0.467705663468	away_model:0.375441804343	end_number:4532064	end_cali:0.110112081383	end_model:0.204538195013	kld:0.0365042179127	mae:0.0628685871273
Bin:period_2-scoreDifferential_-6-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:7	home_cali:1.0	home_model:0.350413245814	away_number:7	away_cali:0.0	away_model:0.434633974518	end_number:7	end_cali:0.0	end_model:0.214952764767	kld:1.0486421142	mae:0.433057831157
Bin:period_3-scoreDifferential_3-zone_nz-manpowerSituation_evenStrength-home_away_1-	home_number:5437	home_cali:0.405922383667	home_model:0.361936789116	away_number:5437	away_cali:0.133529519956	away_model:0.353469957855	end_number:5437	end_cali:0.459076696708	end_model:0.284593252809	kld:0.13607885579	mae:0.146136492116
Bin:period_3-scoreDifferential_3-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:2719	home_cali:0.227289444649	home_model:0.386404430851	away_number:2719	away_cali:0.371827877896	away_model:0.360311167566	end_number:2719	end_cali:0.400882677455	end_model:0.253284401795	kld:0.0751529762191	mae:0.106076657397
Bin:period_2-scoreDifferential_3-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:5328	home_cali:0.490052552553	home_model:0.420184635001	away_number:5328	away_cali:0.466028528529	away_model:0.379923503605	end_number:5328	end_cali:0.0439189189189	end_model:0.199891861081	kld:0.104021875139	mae:0.103981961546
Bin:period_2-scoreDifferential_-2-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:2109	home_cali:0.457562825984	home_model:0.428930781121	away_number:2109	away_cali:0.513513513514	away_model:0.379160142513	end_number:2109	end_cali:0.0289236605026	end_model:0.191909075511	kld:0.130590793373	mae:0.108656943624
Bin:period_2-scoreDifferential_-6-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:77	home_cali:1.0	home_model:0.340948455326	away_number:77	away_cali:0.0	away_model:0.447520404667	end_number:77	end_cali:0.0	end_model:0.21153113633	kld:1.07602396607	mae:0.439367695224
Bin:period_2-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:75247	home_cali:0.479394527357	home_model:0.423440229793	away_number:75247	away_cali:0.49826571159	away_model:0.382725336152	end_number:75247	end_cali:0.0223397610536	end_model:0.193834434128	kld:0.142680709429	mae:0.114329782026
Bin:period_1-scoreDifferential_-4-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:18	home_cali:0.222222222222	home_model:0.413316261437	away_number:18	away_cali:0.777777777778	away_model:0.421133672198	end_number:18	end_cali:0.0	end_model:0.16555006057	kld:0.339262611838	mae:0.237762735122
Bin:period_2-scoreDifferential_-7-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:149	home_cali:1.0	home_model:0.407113351878	away_number:149	away_cali:0.0	away_model:0.36452537435	end_number:149	end_cali:0.0	end_model:0.228361267872	kld:0.89866362206	mae:0.395257763448
Bin:period_1-scoreDifferential_-3-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:135	home_cali:0.22962962963	home_model:0.425851991662	away_number:135	away_cali:0.718518518519	away_model:0.419676988434	end_number:135	end_cali:0.0518518518519	end_model:0.154471019793	kld:0.187924711281	mae:0.199227686686
Bin:period_1-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:172313	home_cali:0.477027270142	home_model:0.473323770448	away_number:172313	away_cali:0.521092430635	away_model:0.388017110666	end_number:172313	end_cali:0.00188029922293	end_model:0.138659118753	kld:0.149290251693	mae:0.091185879731
Bin:period_3-scoreDifferential_-5-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:395	home_cali:0.136708860759	home_model:0.337850170686	away_number:395	away_cali:0.33417721519	away_model:0.388056327308	end_number:395	end_cali:0.526582278481	end_model:0.274093498686	kld:0.170186045856	mae:0.169169733947
Bin:period_1-scoreDifferential_-1-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:3266	home_cali:0.444274341702	home_model:0.457178409023	away_number:3266	away_cali:0.533067973056	away_model:0.398239380302	end_number:3266	end_cali:0.0226576852419	end_model:0.144582209802	kld:0.10072748879	mae:0.0898857282113
Bin:period_3-scoreDifferential_-2-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:3200	home_cali:0.346875	home_model:0.382777737132	away_number:3200	away_cali:0.516875	away_model:0.361058425847	end_number:3200	end_cali:0.1359375	end_model:0.256163838925	kld:0.065138017886	mae:0.103981883403
Bin:period_3-scoreDifferential_2-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:6595	home_cali:0.338438210766	home_model:0.382646787603	away_number:6595	away_cali:0.547990902199	away_model:0.373359171184	end_number:6595	end_cali:0.11326762699	end_model:0.243994039916	kld:0.0818030454847	mae:0.116522240259
Bin:period_2-scoreDifferential_5-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:53	home_cali:0.0	home_model:0.413200201853	away_number:53	away_cali:1.0	away_model:0.380839065561	end_number:53	end_cali:0.0	end_model:0.205960729212	kld:0.96537838877	mae:0.412773955168
Bin:period_2-scoreDifferential_1-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:2814	home_cali:0.454157782516	home_model:0.427460815194	away_number:2814	away_cali:0.493248045487	away_model:0.387684299827	end_number:2814	end_cali:0.0525941719972	end_model:0.184854883534	kld:0.0801891414207	mae:0.088173808173
Bin:period_2-scoreDifferential_0-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:17247	home_cali:0.402040934655	home_model:0.456568934751	away_number:17247	away_cali:0.545254247115	away_model:0.364561399961	end_number:17247	end_cali:0.0527048182293	end_model:0.17886966401	kld:0.103959454652	mae:0.120461897677
